#START7777
#--------------------------------------------------------------------------------------------------
# FLAG의 자리별 Y인 경우 의미 (왼쪽부터)
#   1 : 지상
#   2 : 표준등압면
#   3 : 온도유의고도
#   4 : 바람유의고도
#   5 : 권계면
#   6 : 최대풍
#   7 : 61616
#   8 : 52525
#   9 : TTAA
#  10 : TTBB
#  11 : TTCC
#  12 : TTDD
#--------------------------------------------------------------------------------------------------
# YYMMDDHHMI   STN      PA      GH      TA      TD      WD      WS FLAG
#        UTC    ID     hPa       m       C       C  degree     m/s 123456789012
201806210000 47102  1002.0  -999.0    16.2    16.2   360.0     1.5 101000001100
201806210000 47102  1001.0  -999.0    16.6    14.4  -999.0  -999.0 001000000100
201806210000 47102  1000.0    67.0    16.0    14.5   260.0     1.5 010000001000
201806210000 47102   999.0  -999.0    15.8    14.8  -999.0  -999.0 001000000100
201806210000 47102   980.0  -999.0    16.0    13.4  -999.0  -999.0 001000000100
201806210000 47102   971.0  -999.0    21.0    12.0  -999.0  -999.0 001000000100
201806210000 47102   967.0  -999.0    21.6     9.6  -999.0  -999.0 001000000100
201806210000 47102   953.0  -999.0  -999.0  -999.0   320.0     6.7 000100000100
201806210000 47102   925.0   738.0    20.0     4.0   330.0     7.7 010000001000
201806210000 47102   920.0  -999.0  -999.0  -999.0   330.0     8.2 000100000100
201806210000 47102   909.0  -999.0    19.0     2.0  -999.0  -999.0 001000000100
201806210000 47102   862.0  -999.0  -999.0  -999.0   315.0     8.7 000100000100
201806210000 47102   850.0  1458.0    14.0     3.0   325.0     9.3 010000001000
201806210000 47102   817.0  -999.0  -999.0  -999.0   345.0    11.8 000100000100
201806210000 47102   791.0  -999.0  -999.0  -999.0   330.0     9.3 000100000100
201806210000 47102   714.0  -999.0  -999.0  -999.0   315.0    22.6 000100000100
201806210000 47102   700.0  3064.0     3.2    -6.8   315.0    22.6 011000001100
201806210000 47102   681.0  -999.0     1.8   -15.2  -999.0  -999.0 001000000100
201806210000 47102   666.0  -999.0     2.4   -27.6  -999.0  -999.0 001000000100
201806210000 47102   652.0  -999.0  -999.0  -999.0   330.0    14.9 000100000100
201806210000 47102   634.0  -999.0     0.4   -30.6  -999.0  -999.0 001000000100
201806210000 47102   606.0  -999.0  -999.0  -999.0   310.0    14.9 000100000100
201806210000 47102   576.0  -999.0  -999.0  -999.0   320.0    19.0 000100000100
201806210000 47102   569.0  -999.0    -4.7   -38.7  -999.0  -999.0 001000000100
201806210000 47102   515.0  -999.0  -999.0  -999.0   300.0    21.1 000100000100
201806210000 47102   500.0  5720.0   -12.5   -50.5   300.0    22.1 010000001000
201806210000 47102   496.0  -999.0   -13.1   -51.1  -999.0  -999.0 001000000100
201806210000 47102   413.0  -999.0  -999.0  -999.0   295.0    34.5 000100000100
201806210000 47102   402.0  -999.0   -20.5   -38.5  -999.0  -999.0 001000000100
201806210000 47102   400.0  7400.0   -20.7   -38.7   295.0    34.0 010000001000
201806210000 47102   332.0  -999.0   -30.9   -56.9  -999.0  -999.0 001000000100
201806210000 47102   300.0  9450.0   -37.1   -59.1   285.0    41.7 010000001000
201806210000 47102   286.0  -999.0  -999.0  -999.0   290.0    42.7 000100000100
201806210000 47102   252.0  -999.0   -47.3   -80.3  -999.0  -999.0 001000000100
201806210000 47102   250.0 10680.0   -47.5   -80.5   295.0    38.1 010000001000
201806210000 47102   246.0  -999.0  -999.0  -999.0   290.0    37.0 000100000100
201806210000 47102   213.0  -999.0  -999.0  -999.0   290.0    46.3 000001001000
201806210000 47102   204.0  -999.0   -54.5   -85.5  -999.0  -999.0 001000000100
201806210000 47102   200.0 12130.0   -54.5   -85.5   285.0    41.7 010000001000
